Yr,Loc,Env,Dis,Group,Trt,Rep,Row,Pop,Pop.ha,Fung,DI,DS,DIX,Ybu,Ykg,Inc_9,Inc_12,Inc_15,Seed.cost,Fung.cost,Total.cost,Profit9,Profit12,Profit15,PredSclerkg
2018,Dekalb,Dekalb-2018,0,Fully,14,4,30,110000,270000,Amodel,0,0,0,81.43,5476.2,1807.1,2409.5,3011.9,119.6,57.3,176.8,1630.3,2232.7,2835.1,0
2018,Dekalb,Dekalb-2018,0,Fully,17,1,30,140000,345000,Amodel,0,0,0,82.57,5552.8,1832.4,2443.2,3054.1,152.8,57.3,210,1622.4,2233.2,2844,0
2018,Dekalb,Dekalb-2018,0,Fully,14,1,30,110000,270000,Amodel,0,0,0,82.98,5580.4,1841.5,2455.4,3069.2,119.6,57.3,176.8,1664.7,2278.5,2892.4,0
2018,Dekalb,Dekalb-2018,0,Fully,20,2,30,170000,420000,Amodel,0,0,0,86.78,5836,1925.9,2567.8,3209.8,186,57.3,243.3,1682.6,2324.6,2966.5,0
2018,Dekalb,Dekalb-2018,0,Fully,23,3,30,200000,495000,Amodel,0,0,0,87.02,5852.1,1931.2,2574.9,3218.7,219.2,57.3,276.5,1654.7,2298.4,2942.2,0
2018,Dekalb,Dekalb-2018,0,Fully,20,1,30,170000,420000,Amodel,0,0,0,87.86,5908.6,1949.8,2599.8,3249.7,186,57.3,243.3,1706.6,2356.5,3006.5,0
2018,Dekalb,Dekalb-2018,0,Fully,23,2,30,200000,495000,Amodel,0,0,0,88.06,5922,1954.3,2605.7,3257.1,219.2,57.3,276.5,1677.8,2329.2,2980.6,0
2018,Dekalb,Dekalb-2018,0,Fully,23,1,30,200000,495000,Amodel,0,0,0,89.26,6002.7,1980.9,2641.2,3301.5,219.2,57.3,276.5,1704.4,2364.7,3025,0
2018,Arlington,Arlington-2018,0,Fully,3,1,15,110000,270000,AR1R3,0,0,0,64.55,4341,1432.5,1910,2387.5,119.6,114.5,234.1,1198.4,1675.9,2153.5,0
2018,Arlington,Arlington-2018,0,Fully,9,1,15,170000,420000,AR1R3,0,0,0,66.96,4503.1,1486,1981.3,2476.7,186,114.5,300.5,1185.5,1680.8,2176.2,0
2018,Arlington,Arlington-2018,0,Fully,3,3,15,110000,270000,AR1R3,0,0,0,72.88,4901.2,1617.4,2156.5,2695.6,119.6,114.5,234.1,1383.3,1922.4,2461.6,0
2018,Arlington,Arlington-2018,0,Fully,9,3,15,170000,420000,AR1R3,0,0,0,74.44,5006.1,1652,2202.7,2753.3,186,114.5,300.5,1351.5,1902.2,2452.8,0
2018,Arlington,Arlington-2018,0,Fully,6,4,15,140000,345000,AR1R3,0,0,0,78.86,5303.3,1750.1,2333.5,2916.8,152.8,114.5,267.3,1482.8,2066.2,2649.5,0
2018,Arlington,Arlington-2018,0,Fully,3,2,15,110000,270000,AR1R3,0,0,0,81.44,5476.8,1807.4,2409.8,3012.3,119.6,114.5,234.1,1573.3,2175.7,2778.2,0
2018,Arlington,Arlington-2018,0,Fully,12,1,15,200000,495000,AR1R3,0,0,0,81.93,5509.8,1818.2,2424.3,3030.4,219.2,114.5,333.7,1484.5,2090.6,2696.7,0
2018,Arlington,Arlington-2018,0,Fully,9,4,15,170000,420000,AR1R3,0,0,0,82.27,5532.7,1825.8,2434.4,3043,186,114.5,300.5,1525.3,2133.9,2742.4,0
2018,Arlington,Arlington-2018,0,Fully,6,1,15,140000,345000,AR1R3,0,0,0,82.87,5573,1839.1,2452.1,3065.2,152.8,114.5,267.3,1571.8,2184.8,2797.9,0
2018,Arlington,Arlington-2018,0,Fully,6,2,15,140000,345000,AR1R3,0,0,0,83.08,5587.1,1843.8,2458.3,3072.9,152.8,114.5,267.3,1576.5,2191,2805.6,0
2018,Arlington,Arlington-2018,0,Fully,3,4,15,110000,270000,AR1R3,0,0,0,83.87,5640.3,1861.3,2481.7,3102.1,119.6,114.5,234.1,1627.2,2247.6,2868.1,0
2018,Arlington,Arlington-2018,0,Fully,6,3,15,140000,345000,AR1R3,0,0,0,88.39,5944.2,1961.6,2615.5,3269.3,152.8,114.5,267.3,1694.3,2348.2,3002,0
